2017-10-12 09:26:01,573 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.unicamp.inf321:bookstore-correios:0.0.1-SNAPSHOT @ /home/inf300-2/esoft51/Documents/INF321/LAB02/lab02VV/inf321-lab02/pom.xml.
2017-10-12 09:26:02,466 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /inf321-lab02/src/main/java
2017-10-12 09:26:02,471 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /inf321-lab02/src/test/java
2017-10-12 09:26:02,471 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /inf321-lab02/src/test/resources
2017-10-12 09:26:02,612 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2017-10-12 09:26:04,208 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:26:04,238 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/inf300-2/esoft51/Documents/INF321/LAB02/lab02VV/inf321-lab02/src/main/resources
2017-10-12 09:26:04,247 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:26:04,263 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-10-12 09:32:18,266 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:32:18,270 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/inf300-2/esoft51/Documents/INF321/LAB02/lab02VV/inf321-lab02/src/main/resources
2017-10-12 09:32:18,271 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:32:18,276 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-12 09:32:55,667 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:32:55,671 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/inf300-2/esoft51/Documents/INF321/LAB02/lab02VV/inf321-lab02/src/main/resources
2017-10-12 09:32:55,672 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:32:55,677 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-12 09:33:17,451 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:33:17,454 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/inf300-2/esoft51/Documents/INF321/LAB02/lab02VV/inf321-lab02/src/main/resources
2017-10-12 09:33:17,455 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:33:17,460 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-12 09:52:37,728 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:52:37,757 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/inf300-2/esoft51/Documents/INF321/LAB02/lab02VV/inf321-lab02/src/main/resources
2017-10-12 09:52:37,768 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-12 09:52:37,774 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
